id;date;logtype;actiontype;groupid;user_id;grpusid;parangon;paranon;resourcetypemou;code;message;codage_chat_message;help;resource_id;item_id;resourcetype;mode_of_use;resource_title;creationdate;rightsagreements;resource_size;item_size;reason;game_id;level_id;iswon
20958;2014-04-03 15:05:20;showItemCupboard;showItemCupboard;68;145;68145;p2_68145;O;journal;;;_;;117;541;journal;;Science et vie;1913;Droits d'auteur;/;1 article;;726;1;1
33584;2014-04-03 15:05:20;showItemCupboard;showItemCupboard;114;251;114251;p3_114251;O;book;;;_;;34;305;book;;La laicite nouveaux regard sur l'Antiquite et le Moyen Age;2013;Droits d'auteur;/1 vol. (192 p.);3;;1140;1;1
33594;2014-04-03 15:05:50;addToFridge;addToFridge;114;251;114251;p3_114251;O;bookprintedCopies;;;_;;34;305;book;printedCopies;La laicite nouveaux regard sur l'Antiquite et le Moyen Age;2013;Droits d'auteur;/1 vol. (192 p.);3;Sous droits d'auteur;1140;1;1
20971;2014-04-03 15:06:02;addToFridge;addToFridge;68;145;68145;p2_68145;O;journalprojection;;;_;;117;541;journal;projection;Science et vie;1913;Droits d'auteur;/;1 article;Sous droits d'auteur;726;1;1
33605;2014-04-03 15:06:10;showItemCupboard;showItemCupboard;114;251;114251;p3_114251;O;book;;;_;;41;325;book;;A l'ecole des stereotypes Comprendre et deconstruire;2013;Droits d'auteur;/1 vol. (230 p.);25;;1140;1;1
33617;2014-04-03 15:06:36;addToFridge;addToFridge;114;251;114251;p3_114251;O;bookoral;;;_;;41;325;book;oral;A l'ecole des stereotypes Comprendre et deconstruire;2013;Droits d'auteur;/1 vol. (230 p.);25;;1140;1;1
33621;2014-04-03 15:06:44;feedTamago;feedTamagoBad;114;251;114251;p3_114251;O;bookprintedCopies;;;_;;34;305;book;printedCopies;La laicite nouveaux regard sur l'Antiquite et le Moyen Age;2013;Droits d'auteur;/1 vol. (192 p.);3;Sous droits d'auteur;1140;1;1
20985;2014-04-03 15:06:47;tuto;tuto;68;145;68145;p2_68145;O;;;;_;;;;;;;;;/;;;726;1;1
33627;2014-04-03 15:06:59;showItem;showItemSTOMACH;114;251;114251;p3_114251;O;bookprintedCopies;;;_;;34;305;book;printedCopies;La laicite nouveaux regard sur l'Antiquite et le Moyen Age;2013;Droits d'auteur;/1 vol. (192 p.);3;Sous droits d'auteur;1140;1;1
33636;2014-04-03 15:07:21;feedTamago;feedTamagoGood;114;251;114251;p3_114251;O;bookoral;;;_;;41;325;book;oral;A l'ecole des stereotypes Comprendre et deconstruire;2013;Droits d'auteur;/1 vol. (230 p.);25;;1140;1;1
21000;2014-04-03 15:07:30;showItemCupboard;showItemCupboard;68;145;68145;p2_68145;O;book;;;_;;34;307;book;;La laicite nouveaux regard sur l'Antiquite et le Moyen Age;2013;Droits d'auteur;/1 vol. (192 p.);21;;726;1;1
33644;2014-04-03 15:07:44;showItemCupboard;showItemCupboard;114;251;114251;p3_114251;O;book;;;_;;3;149;book;;L'illusion comique : comedie;1639;Domaine Public;/124 p.;4;;1140;1;1
21008;2014-04-03 15:07:52;addToFridge;addToFridge;68;145;68145;p2_68145;O;bookoral;;;_;;34;307;book;oral;La laicite nouveaux regard sur l'Antiquite et le Moyen Age;2013;Droits d'auteur;/1 vol. (192 p.);21;;726;1;1
21012;2014-04-03 15:07:55;feedTamago;feedTamagoGood;68;145;68145;p2_68145;O;bookoral;;;_;;34;307;book;oral;La laicite nouveaux regard sur l'Antiquite et le Moyen Age;2013;Droits d'auteur;/1 vol. (192 p.);21;;726;1;1
33653;2014-04-03 15:08:08;addToFridge;addToFridge;114;251;114251;p3_114251;O;bookprintedCopies;;;_;;3;149;book;printedCopies;L'illusion comique : comedie;1639;Domaine Public;/124 p.;4;;1140;1;1
33657;2014-04-03 15:08:14;feedTamago;feedTamagoGood;114;251;114251;p3_114251;O;bookprintedCopies;;;_;;3;149;book;printedCopies;L'illusion comique : comedie;1639;Domaine Public;/124 p.;4;;1140;1;1
