id;date;actiontype;groupid;user_id;resourcetypemou;help;resource_id
104;2000-01-01 00:13:25;addToFridge;20;56;journalprintedCopies;;105
105;2000-01-01 00:13:27;feedTamagoGood;20;57;bookassessments;;1
106;2000-01-01 00:13:29;feedTamagoBad;20;56;journalprintedCopies;;105
107;2000-01-01 00:13:37;showItemCUPBOARD;20;56;sound;;301
108;2000-01-01 00:13:38;addToFridge;20;55;journalprintedCopies;;112
109;2000-01-01 00:13:39;showItemCUPBOARD;20;57;journal;;113
110;2000-01-01 00:14:19;showItemCUPBOARD;20;56;book;;47
112;2000-01-01 00:14:53;feedTamagoGood;20;55;journalprintedCopies;;112
113;2000-01-01 00:14:53;fillCupboard;20;;;;
114;2000-01-01 00:15:25;showItemCUPBOARD;20;56;image;;401
115;2000-01-01 00:15:27;chat;20;55;;;
116;2000-01-01 00:15:38;helpLink;20;56;;Accès aide en ligne;
117;2000-01-01 00:15:38;HelpLink;20;56;;Synthèse exception pédagogique - Images;
118;2000-01-01 00:15:41;showItemCUPBOARD;20;55;book;;12
119;2000-01-01 00:15:56;addToFridge;20;55;bookprintedCopies;;12
120;2000-01-01 00:16:07;showItemCUPBOARD;20;55;printedmusic;;519
121;2000-01-01 00:16:23;addToFridge;20;55;printedmusicassessments;;519
122;2000-01-01 00:16:39;feedTamagoBad;20;55;bookprintedCopies;;12
123;2000-01-01 00:16:41;showItemCUPBOARD;20;56;printedmusic;;525
124;2000-01-01 00:16:45;showItemCUPBOARD;20;57;image;;401
125;2000-01-01 00:16:53;helpLink;20;57;;Accès aide en ligne;
126;2000-01-01 00:16:55;helpLink;20;56;;Accès aide en ligne;
127;2000-01-01 00:16:55;showItemCUPBOARD;20;55;image;;404
129;2000-01-01 00:17:10;HelpLink;20;57;;"Droit d'auteur et exception pédagogique";
130;2000-01-01 00:17:11;addToFridge;20;55;imagedigitalMedia;;404
131;2000-01-01 00:17:19;showItemCUPBOARD;20;56;printedmusic;;525
132;2000-01-01 00:17:34;addToFridge;20;56;printedmusicphotocopy;;525
133;2000-01-01 00:17:38;feedTamagoGood;20;56;printedmusicphotocopy;;525
134;2000-01-01 00:17:47;feedTamagoBad;20;55;printedmusicassessments;;519
135;2000-01-01 00:17:56;showItemCUPBOARD;20;55;image;;404
136;2000-01-01 00:18:02;showItemCUPBOARD;20;57;journal;;113
137;2000-01-01 00:18:03;showItemCUPBOARD;20;56;sound;;314
139;2000-01-01 00:18:12;addToFridge;20;57;journaldigitalMedia;;113
140;2000-01-01 00:18:15;feedTamagoGood;20;57;journaldigitalMedia;;113
141;2000-01-01 00:18:21;showItemCUPBOARD;20;56;sound;;336
142;2000-01-01 00:18:22;showItemCUPBOARD;20;55;book;;12
143;2000-01-01 00:18:23;showItemCUPBOARD;20;57;image;;401
144;2000-01-01 00:18:29;showItemCUPBOARD;20;57;image;;401
145;2000-01-01 00:18:32;helpLink;20;56;;Accès aide en ligne;
146;2000-01-01 00:18:33;showItemCUPBOARD;20;57;printedmusic;;525
147;2000-01-01 00:18:34;HelpLink;20;56;;Synthèse exception pédagogique - Enregistrements a;
148;2000-01-01 00:18:36;showItemCUPBOARD;20;55;sound;;336
149;2000-01-01 00:18:43;addToFridge;20;57;printedmusicphotocopy;;525
150;2000-01-01 00:18:45;feedTamagoBad;20;57;printedmusicphotocopy;;525
151;2000-01-01 00:18:48;showItemCUPBOARD;20;56;sound;;314
152;2000-01-01 00:18:53;addToFridge;20;55;sounddigitalMedia;;336
153;2000-01-01 00:18:57;addToFridge;20;56;soundintranet;;314
154;2000-01-01 00:19:01;feedTamagoGood;20;55;imagedigitalMedia;;404
155;2000-01-01 00:19:08;showItemCUPBOARD;20;57;journal;;117
156;2000-01-01 00:19:09;showItemCUPBOARD;20;55;book;;43
157;2000-01-01 00:19:09;feedTamagoBad;20;56;soundintranet;;314
158;2000-01-01 00:19:17;showItemCUPBOARD;20;57;printedmusic;;519
159;2000-01-01 00:19:21;showItemCUPBOARD;20;57;printedmusic;;525
160;2000-01-01 00:19:23;showItemCUPBOARD;20;56;printedmusic;;532
161;2000-01-01 00:19:28;showItemCUPBOARD;20;57;book;;12
162;2000-01-01 00:19:30;showItemCUPBOARD;20;56;book;;12
163;2000-01-01 00:19:34;addToFridge;20;55;bookintranet;;43
164;2000-01-01 00:19:40;addToFridge;20;56;bookphotocopy;;12
165;2000-01-01 00:19:42;feedTamagoBad;20;56;bookphotocopy;;12
166;2000-01-01 00:19:43;showItemCUPBOARD;20;55;printedmusic;;519
167;2000-01-01 00:19:48;showItemCUPBOARD;20;57;printedmusic;;519
168;2000-01-01 00:19:53;showItemCUPBOARD;20;57;journal;;113
169;2000-01-01 00:19:55;showItemCUPBOARD;20;56;journal;;117
170;2000-01-01 00:19:59;showItemCUPBOARD;20;57;image;;404
172;2000-01-01 00:20:11;showItemCUPBOARD;20;56;image;;415
173;2000-01-01 00:20:16;showItemCUPBOARD;20;57;image;;415
174;2000-01-01 00:20:16;helpLink;20;56;;Accès aide en ligne;
175;2000-01-01 00:20:19;HelpLink;20;56;;Synthèse exception pédagogique - Images;
176;2000-01-01 00:20:19;showItemCUPBOARD;20;55;printedmusic;;532
