id;date;actiontype;groupid;user_id;resourcetypemou;help;resource_id
20957;2000-01-01 00:00:00;showItemCupboard;68;144;journal;;117
20966;2000-01-01 00:00:30;addToFridge;68;144;journalprojection;;117
20970;2000-01-01 00:00:39;feedTamagoBad;68;144;journalprojection;;117
20973;2000-01-01 00:00:51;showItemCupboard;68;144;journal;;111
20995;2000-01-01 00:02:03;showItemCupboard;68;144;book;;42
21007;2000-01-01 00:02:34;showItemCupboard;68;144;journal;;113
21018;2000-01-01 00:02:49;addToFridge;68;144;journalprintedCopies;;113
21020;2000-01-01 00:02:52;feedTamagoGood;68;144;journalprintedCopies;;113
21028;2000-01-01 00:03:03;showItemSTOMACH;68;144;journalprojection;;117
21031;2000-01-01 00:03:09;showItemSTOMACH;68;144;journalprintedCopies;;113
21038;2000-01-01 00:03:30;help;68;144;;Acces aide en ligne;
21040;2000-01-01 00:03:40;showItemCupboard;68;144;journal;;108
21046;2000-01-01 00:03:53;showItemCupboard;68;144;journal;;119
21076;2000-01-01 00:04:56;showItemCupboard;68;144;book;;48
21078;2000-01-01 00:04:59;showItemCupboard;68;144;book;;43
21084;2000-01-01 00:05:06;addToFridge;68;144;bookprintedCopies;;43
21086;2000-01-01 00:05:08;feedTamagoGood;68;144;bookprintedCopies;;43
21089;2000-01-01 00:05:20;showItemCupboard;68;144;book;;1
21091;2000-01-01 00:05:25;showItemCupboard;68;144;sound;;338
21094;2000-01-01 00:05:30;showItemCupboard;68;144;journal;;113
21101;2000-01-01 00:05:39;addToFridge;68;144;journalprintedCopies;;113
21105;2000-01-01 00:05:41;feedTamagoGood;68;144;journalprintedCopies;;113
21107;2000-01-01 00:05:45;showItemCupboard;68;144;journal;;101
21110;2000-01-01 00:05:54;addToFridge;68;144;journalassessments;;101
21113;2000-01-01 00:05:56;feedTamagoBad;68;144;journalassessments;;101
21116;2000-01-01 00:06:03;showItemCupboard;68;144;journal;;128
21117;2000-01-01 00:06:07;showItemCupboard;68;144;book;;24
21121;2000-01-01 00:06:10;showItemCupboard;68;144;book;;24
21124;2000-01-01 00:06:14;showItemCupboard;68;144;journal;;131
21127;2000-01-01 00:06:17;showItemCupboard;68;144;book;;1
21130;2000-01-01 00:06:21;showItemCupboard;68;144;book;;45
21133;2000-01-01 00:06:29;addToFridge;68;144;bookprintedCopies;;45
21142;2000-01-01 00:06:47;showItemCupboard;68;144;journal;;121
21145;2000-01-01 00:06:51;showItemCupboard;68;144;sound;;309
21148;2000-01-01 00:06:58;showItemCupboard;68;144;journal;;12
21149;2000-01-01 00:07:00;showItemCupboard;68;144;sound;;301
21153;2000-01-01 00:07:05;showItemCupboard;68;144;journal;;105
21157;2000-01-01 00:07:09;showItemCupboard;68;144;sound;;310
21159;2000-01-01 00:07:15;addToFridge;68;144;soundprojection;;310
21161;2000-01-01 00:07:18;feedTamagoGood;68;144;soundprojection;;310
21164;2000-01-01 00:07:21;showItemCupboard;68;144;sound;;313
21167;2000-01-01 00:07:26;showItemCupboard;68;144;journal;;105
21170;2000-01-01 00:07:30;showItemCupboard;68;144;book;;35
21173;2000-01-01 00:07:33;showItemCupboard;68;144;journal;;113
21179;2000-01-01 00:07:40;addToFridge;68;144;journalprintedCopies;;113
21180;2000-01-01 00:07:41;feedTamagoGood;68;144;journalprintedCopies;;113
21185;2000-01-01 00:07:44;showItemCupboard;68;144;journal;;121
21188;2000-01-01 00:07:47;showItemCupboard;68;144;journal;;112
21191;2000-01-01 00:07:50;showItemCupboard;68;144;journal;;112
21195;2000-01-01 00:07:57;addToFridge;68;144;journalprintedCopies;;112
21197;2000-01-01 00:07:59;feedTamagoGood;68;144;journalprintedCopies;;112
21200;2000-01-01 00:08:09;showItemCupboard;68;144;sound;;333
21205;2000-01-01 00:08:13;showItemCupboard;68;144;image;;403
21209;2000-01-01 00:08:15;showItemCupboard;68;144;book;;47
21214;2000-01-01 00:08:23;addToFridge;68;144;bookprintedCopies;;47
21218;2000-01-01 00:08:31;showItemFRIDGE;68;144;bookprintedCopies;;47
21220;2000-01-01 00:08:34;feedTamagoGood;68;144;bookprintedCopies;;47
21222;2000-01-01 00:08:37;showItemCupboard;68;144;image;;405
21227;2000-01-01 00:08:48;addToFridge;68;144;imageintranet;;405
