id;date;actiontype;groupid;user_id;resourcetypemou;help;resource_id
1;2000-01-01 00:01:13;fillCupboard;8;;;;
2;2000-01-01 00:01:35;showItemCUPBOARD;8;27;journal;;111
3;2000-01-01 00:01:56;showItemCUPBOARD;8;26;journal;;119
4;2000-01-01 00:02:00;chat;8;27;;;
5;2000-01-01 00:02:15;chat;8;26;;;
6;2000-01-01 00:02:15;showItemCUPBOARD;8;27;journal;;111
7;2000-01-01 00:02:38;addToFridge;8;27;journalprintedCopies;;111
8;2000-01-01 00:02:57;addToFridge;8;26;journalprintedCopies;;108
9;2000-01-01 00:03:18;chat;8;27;;;
10;2000-01-01 00:03:25;chat;8;26;;;
11;2000-01-01 00:03:35;tuto;8;26;;;
12;2000-01-01 00:03:40;helpLink;8;26;;Accès aide en ligne;
13;2000-01-01 00:03:42;chat;8;27;;;
14;2000-01-01 00:03:55;chat;8;26;;;
15;2000-01-01 00:04:00;feedTamagoGood;8;27;journalprintedCopies;;111
16;2000-01-01 00:04:08;chat;8;26;;;
17;2000-01-01 00:04:15;chat;8;27;;;
18;2000-01-01 00:04:31;chat;8;26;;;
19;2000-01-01 00:04:34;showItemCUPBOARD;8;27;book;;3
20;2000-01-01 00:04:44;showItemCUPBOARD;8;27;book;;41
21;2000-01-01 00:04:52;chat;8;26;;;
22;2000-01-01 00:05:15;showItemCUPBOARD;8;27;book;;41
23;2000-01-01 00:05:47;chat;8;27;;;
24;2000-01-01 00:05:48;chat;8;26;;;
25;2000-01-01 00:05:51;showItemCUPBOARD;8;27;book;;41
26;2000-01-01 00:06:05;showItemCUPBOARD;8;26;book;;41
27;2000-01-01 00:06:21;chat;8;27;;;
28;2000-01-01 00:06:25;chat;8;26;;;
29;2000-01-01 00:06:35;chat;8;27;;;
30;2000-01-01 00:06:40;chat;8;26;;;
31;2000-01-01 00:06:43;feedTamagoBad;8;26;journalprintedCopies;;108
32;2000-01-01 00:06:59;chat;8;26;;;
33;2000-01-01 00:06:59;chat;8;27;;;
34;2000-01-01 00:07:07;showItemCUPBOARD;8;27;book;;41
35;2000-01-01 00:07:22;addToFridge;8;27;bookassessments;;41
36;2000-01-01 00:07:29;showItemCUPBOARD;8;26;journal;;117
37;2000-01-01 00:07:42;helpLink;8;26;;Accès aide en ligne;
38;2000-01-01 00:07:43;chat;8;27;;;
39;2000-01-01 00:07:52;chat;8;26;;;
40;2000-01-01 00:07:54;chat;8;26;;;
41;2000-01-01 00:07:56;feedTamagoGood;8;27;bookassessments;;41
42;2000-01-01 00:08:04;chat;8;27;;;
43;2000-01-01 00:08:04;chat;8;26;;;
44;2000-01-01 00:08:13;showItemCUPBOARD;8;27;journal;;119
45;2000-01-01 00:08:20;showItemCUPBOARD;8;26;book;;43
46;2000-01-01 00:08:26;showItemCUPBOARD;8;26;journal;;108
47;2000-01-01 00:08:35;chat;8;27;;;
48;2000-01-01 00:08:38;chat;8;26;;;
49;2000-01-01 00:08:50;chat;8;26;;;
50;2000-01-01 00:08:52;addToFridge;8;27;journalassessments;;119
51;2000-01-01 00:08:56;chat;8;26;;;
52;2000-01-01 00:09:03;showItemTAMAGO;8;26;bookassessments;;41
53;2000-01-01 00:09:13;helpLink;8;27;;Accès aide en ligne;
54;2000-01-01 00:09:35;showItemTAMAGO;8;26;journalprintedCopies;;111
55;2000-01-01 00:09:44;chat;8;27;;;
56;2000-01-01 00:09:50;chat;8;26;;;
57;2000-01-01 00:09:52;chat;8;26;;;
58;2000-01-01 00:10:04;chat;8;26;;;
60;2000-01-01 00:10:13;showItemFRIDGE;8;27;journalassessments;;119
61;2000-01-01 00:10:19;feedTamagoGood;8;27;journalassessments;;119
62;2000-01-01 00:10:32;chat;8;27;;;
63;2000-01-01 00:10:40;showItemCUPBOARD;8;26;journal;;105
64;2000-01-01 00:10:47;showItemCUPBOARD;8;27;book;;3
65;2000-01-01 00:10:48;showItemCUPBOARD;8;26;book;;43
66;2000-01-01 00:11:12;chat;8;27;;;
67;2000-01-01 00:11:12;chat;8;26;;;
68;2000-01-01 00:11:19;chat;8;26;;;
69;2000-01-01 00:11:26;addToFridge;8;27;bookprintedCopies;;3
70;2000-01-01 00:11:29;feedTamagoGood;8;27;bookprintedCopies;;3
71;2000-01-01 00:11:31;addToFridge;8;26;bookprintedCopies;;43
72;2000-01-01 00:11:33;feedTamagoGood;8;26;bookprintedCopies;;43
73;2000-01-01 00:11:33;fillCupboard;8;;;;
74;2000-01-01 00:11:54;chat;8;27;;;
75;2000-01-01 00:11:59;tuto;8;27;;;
76;2000-01-01 00:12:02;helpLink;8;27;;Accès aide en ligne;
77;2000-01-01 00:12:08;showItemCUPBOARD;8;27;journal;;121
79;2000-01-01 00:12:21;showItemCUPBOARD;8;26;sound;;310
80;2000-01-01 00:12:33;showItemCUPBOARD;8;26;book;;46
83;2000-01-01 00:12:51;helpLink;8;26;;Accès aide en ligne;
84;2000-01-01 00:12:54;showItemCUPBOARD;8;27;journal;;121
85;2000-01-01 00:12:57;HelpLink;8;26;;Synthèse exception pédagogique - Enregistrements a;
86;2000-01-01 00:13:28;addToFridge;8;27;journalprintedCopies;;121
