id;date;actiontype;groupid;user_id;resourcetypemou;help;resource_id
36272;2000-01-01 00:00:00;showItemCupboard;122;264;book;;41
36295;2000-01-01 00:02:05;showItemCupboard;122;264;book;;47
36308;2000-01-01 00:03:25;addToFridge;122;264;bookoral;;35
36310;2000-01-01 00:03:38;showItemCupboard;122;264;book;;19
36312;2000-01-01 00:04:18;feedTamagoGood;122;264;bookoral;;35
36321;2000-01-01 00:04:58;showItemCupboard;122;264;journal;;103
36340;2000-01-01 00:06:12;chat;122;264;;;
36344;2000-01-01 00:06:23;help;122;264;;Acces aide en ligne;
36352;2000-01-01 00:06:45;addToFridge;122;264;bookprintedCopies;;18
36354;2000-01-01 00:06:48;feedTamagoBad;122;264;bookprintedCopies;;18
36356;2000-01-01 00:06:55;showItemCupboard;122;264;book;;35
36357;2000-01-01 00:06:59;showItemCupboard;122;264;book;;41
36367;2000-01-01 00:07:22;showItemCupboard;122;264;sound;;300
36372;2000-01-01 00:07:34;addToFridge;122;264;soundprojection;;300
36373;2000-01-01 00:07:39;showItemCupboard;122;264;book;;45
36377;2000-01-01 00:07:52;addToFridge;122;264;bookassessments;;45
36382;2000-01-01 00:08:06;showItemCupboard;122;264;book;;45
36385;2000-01-01 00:08:13;feedTamagoGood;122;264;bookassessments;;45
36387;2000-01-01 00:08:19;showItemCupboard;122;264;book;;45
36388;2000-01-01 00:08:22;showItemCupboard;122;264;book;;24
36392;2000-01-01 00:08:31;addToFridge;122;264;bookprintedCopies;;24
36393;2000-01-01 00:08:33;feedTamagoBad;122;264;bookprintedCopies;;24
36397;2000-01-01 00:08:40;showItemCupboard;122;264;book;;1
36398;2000-01-01 00:08:45;showItemCupboard;122;264;sound;;302
36400;2000-01-01 00:08:52;addToFridge;122;264;soundprojection;;302
36401;2000-01-01 00:08:53;feedTamagoBad;122;264;soundprojection;;302
36403;2000-01-01 00:09:05;showItemCupboard;122;264;book;;1
36413;2000-01-01 00:09:46;chat;122;264;;;
36415;2000-01-01 00:10:14;feedTamagoGood;122;264;soundprojection;;300
36431;2000-01-01 00:11:38;chat;122;264;;;
36435;2000-01-01 00:11:49;addToFridge;122;264;bookassessments;;45
36438;2000-01-01 00:11:51;feedTamagoGood;122;264;bookassessments;;45
36440;2000-01-01 00:11:59;addToFridge;122;264;bookprintedCopies;;24
36441;2000-01-01 00:12:01;feedTamagoBad;122;264;bookprintedCopies;;24
36447;2000-01-01 00:12:44;addToFridge;122;264;bookphotocopy;;1
36450;2000-01-01 00:12:47;feedTamagoBad;122;264;bookphotocopy;;1
36454;2000-01-01 00:13:12;addToFridge;122;264;bookassessments;;45
36455;2000-01-01 00:13:16;feedTamagoGood;122;264;bookassessments;;45
36459;2000-01-01 00:13:26;showItemCupboard;122;264;journal;;131
36464;2000-01-01 00:13:47;addToFridge;122;264;journalphotocopy;;131
36471;2000-01-01 00:13:59;addToFridge;122;264;soundprojection;;307
36472;2000-01-01 00:14:00;feedTamagoGood;122;264;soundprojection;;307
36479;2000-01-01 00:14:16;showItemCupboard;122;264;sound;;335
36480;2000-01-01 00:14:21;showItemCupboard;122;264;sound;;307
36481;2000-01-01 00:14:28;showItemCupboard;122;264;sound;;338
36496;2000-01-01 00:15:01;chat;122;264;;;
36504;2000-01-01 00:15:20;showItemCupboard;122;264;sound;;303
36509;2000-01-01 00:15:32;addToFridge;122;264;bookassessments;;47
36511;2000-01-01 00:15:34;feedTamagoGood;122;264;bookassessments;;47
36540;2000-01-01 00:16:57;showItemCupboard;122;264;sound;;337
36541;2000-01-01 00:17:00;showItemCupboard;122;264;sound;;309
36542;2000-01-01 00:17:05;showItemCupboard;122;264;book;;46
36546;2000-01-01 00:17:15;showItemCupboard;122;264;sound;;303
36548;2000-01-01 00:17:21;showItemCupboard;122;264;journal;;12
36555;2000-01-01 00:17:42;showItemCupboard;122;264;book;;46
36559;2000-01-01 00:17:51;addToFridge;122;264;bookassessments;;46
36560;2000-01-01 00:17:54;feedTamagoBad;122;264;bookassessments;;46
36563;2000-01-01 00:18:04;showItemCupboard;122;264;sound;;309
36591;2000-01-01 00:19:11;showItemCupboard;122;264;sound;;313
36626;2000-01-01 00:20:40;chat;122;264;;;
36632;2000-01-01 00:20:59;showItemCupboard;122;264;sound;;311
36633;2000-01-01 00:21:02;showItemCupboard;122;264;sound;;335
36635;2000-01-01 00:21:04;showItemCupboard;122;264;sound;;338
36637;2000-01-01 00:21:06;showItemCupboard;122;264;sound;;307
