id;date;actiontype;groupid;user_id;resourcetypemou;help;resource_id
15253;2000-01-01 00:00:00;showItemCupboard;52;94;book;;3
15256;2000-01-01 00:00:46;addToFridge;52;94;bookprintedCopies;;3
15259;2000-01-01 00:01:27;showItemCupboard;52;94;journal;;119
15262;2000-01-01 00:01:57;showItemCupboard;52;94;journal;;111
15263;2000-01-01 00:02:21;showItemCupboard;52;94;journal;;117
15267;2000-01-01 00:02:54;chat;52;94;;;
15270;2000-01-01 00:03:08;showItemCupboard;52;94;journal;;117
15273;2000-01-01 00:03:28;chat;52;94;;;
15276;2000-01-01 00:04:00;help;52;94;;Acces aide en ligne;
15277;2000-01-01 00:04:06;helpLink;52;94;;Synthese exception pedagogique - Livres, Periodiqu;
15282;2000-01-01 00:05:27;chat;52;94;;;
15284;2000-01-01 00:06:45;showItemFRIDGE;52;94;journaloral;;105
15287;2000-01-01 00:08:11;chat;52;94;;;
15288;2000-01-01 00:08:20;chat;52;94;;;
15289;2000-01-01 00:08:27;showItemFRIDGE;52;94;journaloral;;105
15291;2000-01-01 00:08:52;chat;52;94;;;
15294;2000-01-01 00:09:30;chat;52;94;;;
15295;2000-01-01 00:09:42;chat;52;94;;;
15296;2000-01-01 00:09:54;chat;52;94;;;
15297;2000-01-01 00:10:06;showItemFRIDGE;52;94;bookprintedCopies;;3
15299;2000-01-01 00:10:11;showItemFRIDGE;52;94;journaloral;;105
15302;2000-01-01 00:10:38;chat;52;94;;;
15303;2000-01-01 00:10:42;showItemCupboard;52;94;book;;43
15306;2000-01-01 00:10:50;showItemCupboard;52;94;book;;34
15309;2000-01-01 00:11:29;addToFridge;52;94;bookprintedCopies;;34
15311;2000-01-01 00:11:32;showItemFRIDGE;52;94;bookprintedCopies;;34
15313;2000-01-01 00:12:03;showItemCupboard;52;94;book;;41
15315;2000-01-01 00:12:11;showItemCupboard;52;94;book;;41
15316;2000-01-01 00:12:18;showItemCupboard;52;94;book;;41
15318;2000-01-01 00:12:26;showItemFRIDGE;52;94;bookprintedCopies;;34
15319;2000-01-01 00:12:41;showItemCupboard;52;94;book;;48
