id;date;actiontype;groupid;user_id;resourcetypemou;help;resource_id
20958;2000-01-01 00:00:00;showItemCupboard;68;145;journal;;117
20971;2000-01-01 00:00:42;addToFridge;68;145;journalprojection;;117
20985;2000-01-01 00:01:27;tuto;68;145;;;
21000;2000-01-01 00:02:10;showItemCupboard;68;145;book;;34
21008;2000-01-01 00:02:32;addToFridge;68;145;bookoral;;34
21012;2000-01-01 00:02:35;feedTamagoGood;68;145;bookoral;;34
21039;2000-01-01 00:03:35;showItemCupboard;68;145;book;;43
21054;2000-01-01 00:04:09;addToFridge;68;145;bookprintedCopies;;43
21055;2000-01-01 00:04:10;showItemFRIDGE;68;145;bookprintedCopies;;43
21060;2000-01-01 00:04:19;feedTamagoGood;68;145;bookprintedCopies;;43
21070;2000-01-01 00:04:36;showItemCupboard;68;145;book;;42
21077;2000-01-01 00:04:54;addToFridge;68;145;bookoral;;42
21079;2000-01-01 00:04:56;feedTamagoGood;68;145;bookoral;;42
21083;2000-01-01 00:05:00;showItemCupboard;68;145;book;;48
21092;2000-01-01 00:05:20;showItemCupboard;68;145;sound;;338
21099;2000-01-01 00:05:34;addToFridge;68;145;soundassessments;;338
21104;2000-01-01 00:05:36;feedTamagoGood;68;145;soundassessments;;338
21108;2000-01-01 00:05:41;showItemCupboard;68;145;journal;;128
21119;2000-01-01 00:06:04;addToFridge;68;145;journalprintedCopies;;128
21123;2000-01-01 00:06:07;feedTamagoBad;68;145;journalprintedCopies;;128
21126;2000-01-01 00:06:12;showItemCupboard;68;145;book;;45
21129;2000-01-01 00:06:16;showItemCupboard;68;145;book;;1
21131;2000-01-01 00:06:20;showItemCupboard;68;145;sound;;311
21141;2000-01-01 00:06:42;showItemCupboard;68;145;book;;35
21150;2000-01-01 00:06:57;showItemCupboard;68;145;journal;;105
21152;2000-01-01 00:07:00;showItemCupboard;68;145;book;;46
21156;2000-01-01 00:07:03;showItemCupboard;68;145;journal;;12
21158;2000-01-01 00:07:07;showItemCupboard;68;145;sound;;337
21163;2000-01-01 00:07:14;addToFridge;68;145;soundassessments;;337
21166;2000-01-01 00:07:18;feedTamagoGood;68;145;soundassessments;;337
21168;2000-01-01 00:07:21;showItemCupboard;68;145;sound;;337
21171;2000-01-01 00:07:26;showItemCupboard;68;145;journal;;121
21174;2000-01-01 00:07:32;showItemCupboard;68;145;sound;;313
21182;2000-01-01 00:07:36;showItemCupboard;68;145;book;;47
21190;2000-01-01 00:07:45;addToFridge;68;145;bookassessments;;47
21196;2000-01-01 00:07:52;feedTamagoGood;68;145;bookassessments;;47
21203;2000-01-01 00:08:05;showItemCupboard;68;145;printedmusic;;502
21213;2000-01-01 00:08:18;addToFridge;68;145;printedmusicassessments;;502
21215;2000-01-01 00:08:20;feedTamagoBad;68;145;printedmusicassessments;;502
21217;2000-01-01 00:08:26;showItemCupboard;68;145;image;;403
21219;2000-01-01 00:08:29;showItemCupboard;68;145;sound;;333
21223;2000-01-01 00:08:33;showItemCupboard;68;145;sound;;300
21229;2000-01-01 00:08:43;showItemCupboard;68;145;journal;;124
21233;2000-01-01 00:08:47;showItemCupboard;68;145;journal;;110
21236;2000-01-01 00:08:50;showItemCupboard;68;145;printedmusic;;534;1

21242;2000-01-01 00:09:00;addToFridge;68;145;printedmusicprintedCopies;;534;1

21244;2000-01-01 00:09:01;feedTamagoGood;68;145;printedmusicprintedCopies;;534;1

21246;2000-01-01 00:09:03;showItemCupboard;68;145;journal;;13
21256;2000-01-01 00:09:16;addToFridge;68;145;journalassessments;;13
21257;2000-01-01 00:09:18;feedTamagoGood;68;145;journalassessments;;13
21264;2000-01-01 00:09:34;showItemCupboard;68;145;sound;;300
21267;2000-01-01 00:09:38;showItemCupboard;68;145;printedmusic;;529
21271;2000-01-01 00:09:42;showItemCupboard;68;145;printedmusic;;529
21274;2000-01-01 00:09:45;showItemCupboard;68;145;video;;211
21280;2000-01-01 00:09:48;showItemCupboard;68;145;book;;10
21283;2000-01-01 00:09:53;showItemCupboard;68;145;journal;;117
21286;2000-01-01 00:09:56;showItemCupboard;68;145;book;;9
21293;2000-01-01 00:09:59;showItemCupboard;68;145;journal;;110
21296;2000-01-01 00:10:04;showItemCupboard;68;145;journal;;110
21304;2000-01-01 00:10:10;showItemCupboard;68;145;book;;10
21311;2000-01-01 00:10:20;addToFridge;68;145;bookassessments;;10
21313;2000-01-01 00:10:22;feedTamagoGood;68;145;bookassessments;;10
21318;2000-01-01 00:10:28;showItemCupboard;68;145;book;;34
21332;2000-01-01 00:10:56;showItemCupboard;68;145;book;;10
21337;2000-01-01 00:11:03;addToFridge;68;145;bookassessments;;10
21340;2000-01-01 00:11:05;feedTamagoGood;68;145;bookassessments;;10
21344;2000-01-01 00:11:07;showItemCupboard;68;145;book;;43
21350;2000-01-01 00:11:13;addToFridge;68;145;bookassessments;;43
21352;2000-01-01 00:11:16;feedTamagoGood;68;145;bookassessments;;43
21355;2000-01-01 00:11:17;showItemCupboard;68;145;book;;10
21360;2000-01-01 00:11:27;addToFridge;68;145;bookassessments;;10
21362;2000-01-01 00:11:29;feedTamagoBad;68;145;bookassessments;;10
21365;2000-01-01 00:11:33;showItemCupboard;68;145;book;;9
21371;2000-01-01 00:11:41;showItemCupboard;68;145;printedmusic;;531;0

21377;2000-01-01 00:11:52;addToFridge;68;145;printedmusicintranet;;531;0

21379;2000-01-01 00:11:54;feedTamagoGood;68;145;printedmusicintranet;;531;0

21383;2000-01-01 00:11:58;showItemCupboard;68;145;printedmusic;;529
21385;2000-01-01 00:12:02;showItemCupboard;68;145;printedmusic;;529
21386;2000-01-01 00:12:04;showItemCupboard;68;145;printedmusic;;521
21390;2000-01-01 00:12:09;showItemCupboard;68;145;journal;;110
21395;2000-01-01 00:12:13;showItemCupboard;68;145;journal;;117
21397;2000-01-01 00:12:16;showItemCupboard;68;145;image;;412
21399;2000-01-01 00:12:19;showItemCupboard;68;145;sound;;300
21403;2000-01-01 00:12:22;showItemCupboard;68;145;journal;;117
21406;2000-01-01 00:12:24;showItemCupboard;68;145;printedmusic;;521
21408;2000-01-01 00:12:27;showItemCupboard;68;145;journal;;110
21410;2000-01-01 00:12:30;showItemCupboard;68;145;video;;221
21413;2000-01-01 00:12:33;showItemCupboard;68;145;book;;9
21424;2000-01-01 00:12:47;showItemCupboard;68;145;sound;;306
21429;2000-01-01 00:12:53;addToFridge;68;145;soundassessments;;306
21433;2000-01-01 00:12:57;feedTamagoGood;68;145;soundassessments;;306
21446;2000-01-01 00:13:21;showItemCupboard;68;145;printedmusic;;529
21452;2000-01-01 00:13:25;showItemCupboard;68;145;video;;231
21454;2000-01-01 00:13:27;showItemCupboard;68;145;image;;403
21460;2000-01-01 00:13:37;addToFridge;68;145;imageassessments;;403
21461;2000-01-01 00:13:39;feedTamagoBad;68;145;imageassessments;;403
21470;2000-01-01 00:13:52;showItemCupboard;68;145;sound;;300
21482;2000-01-01 00:14:08;addToFridge;68;145;soundintranet;;300
21484;2000-01-01 00:14:10;feedTamagoBad;68;145;soundintranet;;300
21485;2000-01-01 00:14:16;help;68;145;;Acces aide en ligne;
21530;2000-01-01 00:15:31;showItemCupboard;68;145;sound;;310
21536;2000-01-01 00:15:43;addToFridge;68;145;soundintranet;;310
21537;2000-01-01 00:15:44;feedTamagoGood;68;145;soundintranet;;310
21543;2000-01-01 00:15:47;showItemCupboard;68;145;sound;;302
21554;2000-01-01 00:16:00;addToFridge;68;145;soundschoolWebsite;;302
21556;2000-01-01 00:16:02;feedTamagoBad;68;145;soundschoolWebsite;;302
21561;2000-01-01 00:16:07;showItemCupboard;68;145;journal;;15
21564;2000-01-01 00:16:13;showItemCupboard;68;145;printedmusic;;526
21569;2000-01-01 00:16:17;showItemCupboard;68;145;image;;407
21582;2000-01-01 00:16:35;help;68;145;;Acces aide en ligne;
21585;2000-01-01 00:16:38;helpLink;68;145;;Synthese exception pedagogique - Livres, Periodiqu;
21616;2000-01-01 00:17:38;showItemCupboard;68;145;sound;;300
21619;2000-01-01 00:17:43;showItemCupboard;68;145;sound;;306
21623;2000-01-01 00:17:50;showItemCupboard;68;145;sound;;315
21626;2000-01-01 00:17:54;showItemCupboard;68;145;sound;;314
21631;2000-01-01 00:18:03;addToFridge;68;145;soundintranet;;314
21633;2000-01-01 00:18:05;feedTamagoBad;68;145;soundintranet;;314
21641;2000-01-01 00:18:22;showItemCupboard;68;145;sound;;300
21653;2000-01-01 00:18:33;showItemCupboard;68;145;sound;;338
21665;2000-01-01 00:18:49;showItemCupboard;68;145;sound;;306
21686;2000-01-01 00:19:28;chat;68;145;;;
